"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Theodosiou A.; Aubrecht J.; Kanagaraj N.; Peterka P.; Honzátko P.; Stassis A.; Kalli K.","Theodosiou, Antreas (56541357000); Aubrecht, Jan (22978680900); Kanagaraj, Nithyanandan (36246432800); Peterka, Pavel (6602769922); Honzátko, Pavel (6602116389); Stassis, Andreas (8352135400); Kalli, Kyriacos (7004133189)","56541357000; 22978680900; 36246432800; 6602769922; 6602116389; 8352135400; 7004133189","Femtosecond laser inscribed gratings for monolithic MIR fiber lasers","2019","Proceedings of SPIE - The International Society for Optical Engineering","11206","","112060L","","","","0","10.1117/12.2548293","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124513636&doi=10.1117%2f12.2548293&partnerID=40&md5=eb2d03b20d7f2798827fea40700575e0","Conference paper","Final","","Scopus","2-s2.0-85124513636"
"Musammil N.M.; Porsezian K.; Subha P.A.; Nithyanandan K.","Musammil, N.M. (55813729600); Porsezian, K. (35561975500); Subha, P.A. (15846997000); Nithyanandan, K. (36246432800)","55813729600; 35561975500; 15846997000; 36246432800","Dynamics of vector dark solitons propagation and tunneling effect in the variable coefficient coupled nonlinear schrödinger equation","2017","Chaos","27","2","023113","","","","14","10.1063/1.4976514","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85013877667&doi=10.1063%2f1.4976514&partnerID=40&md5=997833bd33e5dfcd55f0cf9f131a0bb4","Article","Final","","Scopus","2-s2.0-85013877667"
"Theodosiou A.; Aubrecht J.; Kanagaraj N.; Peterka P.; Kasik I.; Honzatko P.; Stassis A.; Kalli K.","Theodosiou, Antreas (56541357000); Aubrecht, Jan (22978680900); Kanagaraj, Nithyanandan (36246432800); Peterka, Pavel (6602769922); Kasik, Ivan (7004504748); Honzatko, Pavel (6602116389); Stassis, Andreas (8352135400); Kalli, Kyriacos (7004133189)","56541357000; 22978680900; 36246432800; 6602769922; 7004504748; 6602116389; 8352135400; 7004133189","Monolithic fibre lasers developed using the plane-by-plane femtosecond laser inscription method","2019","2019 SBMO/IEEE MTT-S International Microwave and Optoelectronics Conference, IMOC 2019","2019-January","","9317643","","","","0","10.1109/IMOC43827.2019.9317643","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104269278&doi=10.1109%2fIMOC43827.2019.9317643&partnerID=40&md5=734bca2331b5875f055225e2cc3559bf","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85104269278"
"Nithyanandan K.; Shafeeque Ali A.K.; Porsezian K.","Nithyanandan, K. (36246432800); Shafeeque Ali, A.K. (56401131700); Porsezian, K. (35561975500)","36246432800; 56401131700; 35561975500","Modulational instability in the semiconductor doped dispersion decreasing fiber - a prospect for ultrashort pulse generation","2014","International Conference on Fibre Optics and Photonics, 2014","","","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118318230&partnerID=40&md5=97457dd7ae722a592cff1f71e4651b0d","Conference paper","Final","","Scopus","2-s2.0-85118318230"
"Billault V.; Crozatier V.; Baili G.; Morvan L.; Dolfi D.; Kanagaraj N.; De Chatellus H.G.","Billault, Vincent (57210618430); Crozatier, Vincent (9244351000); Baili, Ghaya (11839795600); Morvan, Loic (12793307600); Dolfi, Daniel (7007017942); Kanagaraj, Nithyanadan (36246432800); De Chatellus, Hugues Guillet (24072741200)","57210618430; 9244351000; 11839795600; 12793307600; 7007017942; 36246432800; 24072741200","Phase Noise of Optical Pulse Trains Generated by Talbot Effect in Frequency Shifting Loops","2021","Journal of Lightwave Technology","39","8","9325511","2336","2347","11","11","10.1109/JLT.2021.3052041","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85099732482&doi=10.1109%2fJLT.2021.3052041&partnerID=40&md5=35951bb65d6fabf89c74c68db1e0f230","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85099732482"
"Duran Bosch V.; Djevarhidjian L.; Schnébelin C.; Nithyanandan K.; Kassi S.; Méjean G.; Romanini D.; Guillet de Chatellus H.","Duran Bosch, V. (7004082718); Djevarhidjian, L. (57202733578); Schnébelin, C. (56347323200); Nithyanandan, K. (36246432800); Kassi, S. (6602332937); Méjean, G. (6602982434); Romanini, D. (7004166308); Guillet de Chatellus, H. (24072741200)","7004082718; 57202733578; 56347323200; 36246432800; 6602332937; 6602982434; 7004166308; 24072741200","Self-heterodyne and dual-comb spectroscopy using acoustooptic frequency combs","2018","Optics InfoBase Conference Papers","Part F92-CLEO_AT 2018","","","","","2","0","10.1364/CLEO_AT.2018.ATh3O.4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85049152724&doi=10.1364%2fCLEO_AT.2018.ATh3O.4&partnerID=40&md5=3e9de44a072bbf24703c62f8c8a48071","Conference paper","Final","","Scopus","2-s2.0-85049152724"
"Kumar M.; Kanagaraj N.","Kumar, Mukesh (58422316900); Kanagaraj, Nithyanandan (36246432800)","58422316900; 36246432800","Effects on beam quality due to misalignment errors in beam combination systems","2026","Optics and Laser Technology","194","","114415","","","","0","10.1016/j.optlastec.2025.114415","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105023951243&doi=10.1016%2fj.optlastec.2025.114415&partnerID=40&md5=bea7e44e782035ef7c1e079f7fd11efc","Article","Final","","Scopus","2-s2.0-105023951243"
"Wang Z.; Jiang Q.; Kanagaraj N.; Yu B.; Zhang Z.","Wang, Zhiqiang (57212119488); Jiang, Qi (57210163977); Kanagaraj, Nithyanandan (36246432800); Yu, Benli (7402092764); Zhang, Zuxing (14520065300)","57212119488; 57210163977; 36246432800; 7402092764; 14520065300","Spotlighting the Simultaneous Formation of Coherent and Incoherent Dissipative Solitons in an Er-Doped Bidirectional Ultrafast Fiber Laser","2022","Physical Review Applied","18","6","064096","","","","4","10.1103/PhysRevApplied.18.064096","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146111646&doi=10.1103%2fPhysRevApplied.18.064096&partnerID=40&md5=1890058f9cd4dbb5a67e0e50088a8774","Article","Final","","Scopus","2-s2.0-85146111646"
"Nithyanandan K.; Porsezian K.","Nithyanandan, K. (36246432800); Porsezian, K. (35561975500)","36246432800; 35561975500","A novel power play in the supercontinuum generation induced by modulational instability in saturable nonlinear media","2016","Optics InfoBase Conference Papers","","","","","","3","0","10.1364/sof.2016.sow3g.6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088409509&doi=10.1364%2fsof.2016.sow3g.6&partnerID=40&md5=27b495be62cad7c953f1c38559dce9cb","Conference paper","Final","","Scopus","2-s2.0-85088409509"
"Wang Z.; Nithyanandan K.; Coillet A.; Tchofo-Dinda P.; Grelu P.","Wang, Zhiqiang (57212119488); Nithyanandan, K. (36246432800); Coillet, Aurélien (26530475400); Tchofo-Dinda, Patrice (6604078297); Grelu, Philippe (6602757933)","57212119488; 36246432800; 26530475400; 6604078297; 6602757933","Buildup of incoherent dissipative solitons in ultrafast fiber lasers","2020","Physical Review Research","2","1","013101","","","","48","10.1103/PhysRevResearch.2.013101","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098068258&doi=10.1103%2fPhysRevResearch.2.013101&partnerID=40&md5=548b152f7d36745b3739f778a432fe69","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85098068258"
"Bhuvaneswari S.; Nithyanandan K.; Muruganandam P.; Porsezian K.","Bhuvaneswari, S. (57217139806); Nithyanandan, K. (36246432800); Muruganandam, P. (6603283212); Porsezian, K. (35561975500)","57217139806; 36246432800; 6603283212; 35561975500","Modulation instability in quasi-two-dimensional spin-orbit coupled Bose-Einstein condensates","2016","Journal of Physics B: Atomic, Molecular and Optical Physics","49","24","245301","","","","31","10.1088/0953-4075/49/24/245301","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85003454655&doi=10.1088%2f0953-4075%2f49%2f24%2f245301&partnerID=40&md5=ec23fcd0f631917d118f818fc01e3c44","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85003454655"
"Nithyanandan K.; Raja V.J.; Uthayakumar T.; Porsezian K.","Nithyanandan, K. (36246432800); Raja, Vasantha Jayakantha (25637567000); Uthayakumar, T. (35362713600); Porsezian, K. (35561975500)","36246432800; 25637567000; 35362713600; 35561975500","Impact of material absorption on supercontinuum generation in liquid core photonic crystal fiber","2013","AIP Conference Proceedings","1536","","","713","714","1","0","10.1063/1.4810426","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84880104142&doi=10.1063%2f1.4810426&partnerID=40&md5=238c07a40e7513149276b6c6a95cab88","Conference paper","Final","","Scopus","2-s2.0-84880104142"
"Mohamed M.I.; Jose A.; Coillet A.; Dinda P.T.; Kanagaraj N.; Grelu P.","Mohamed, Mostafa I. (59366665000); Jose, Amala (57887456500); Coillet, Aurélien (26530475400); Dinda, Patrice Tchofo (6604078297); Kanagaraj, Nithyanandan (36246432800); Grelu, Philippe (6602757933)","59366665000; 57887456500; 26530475400; 6604078297; 36246432800; 6602757933","Highly dispersive energy-managed soliton fiber laser","2025","Optics letters","50","19","","6101","6104","3","1","10.1364/OL.574002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105017700082&doi=10.1364%2fOL.574002&partnerID=40&md5=b40a82174a315c0f3a43e7a465f0ea75","Article","Final","","Scopus","2-s2.0-105017700082"
"Moubissi A.-B.; Ekogo T.B.; Moussambi Membetsi Z.H.; Nithyanandan K.; Nse Biyoghé S.","Moubissi, A.-B. (6603251331); Ekogo, Th. B. (25621281200); Moussambi Membetsi, Z.H. (57208643222); Nithyanandan, K. (36246432800); Nse Biyoghé, S. (57195312191)","6603251331; 25621281200; 57208643222; 36246432800; 57195312191","Energy diagram and stability range of families of soliton molecules in fibers","2019","Optical and Quantum Electronics","51","5","160","","","","3","10.1007/s11082-019-1855-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85065396508&doi=10.1007%2fs11082-019-1855-3&partnerID=40&md5=2c5443a15e6b785f208a1cda156dda2b","Article","Final","","Scopus","2-s2.0-85065396508"
"Shafeeque Ali A.K.; Nithyanandan K.; Porsezian K.; Maimistov A.I.","Shafeeque Ali, A.K. (56401131700); Nithyanandan, K. (36246432800); Porsezian, K. (35561975500); Maimistov, Andrei I. (7004367032)","56401131700; 36246432800; 35561975500; 7004367032","Influence of birefringence in the instability spectra of oppositely directed coupler with negative index material channel","2016","Physical Review A","93","2","023848","","","","22","10.1103/PhysRevA.93.023848","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959471966&doi=10.1103%2fPhysRevA.93.023848&partnerID=40&md5=69ddfd0d36e35bcbb8592386700434e6","Article","Final","","Scopus","2-s2.0-84959471966"
"Nithyanandan K.; Porsezian K.","Nithyanandan, K. (36246432800); Porsezian, K. (35561975500)","36246432800; 35561975500","A unique observation of power play in the instability induced supercontinuum generation in saturable nonlinear media","2015","Proceedings of Frontiers in Optics 2015, FIO 2015","","","","","","","0","10.1364/fio.2015.jw2a.51","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85086950890&doi=10.1364%2ffio.2015.jw2a.51&partnerID=40&md5=d2c519b680d39620ac1372c52246ad6e","Conference paper","Final","","Scopus","2-s2.0-85086950890"
"Musammil N.M.; Porsezian K.; Nithyanandan K.; Subha P.A.; Tchofo Dinda P.","Musammil, N.M. (55813729600); Porsezian, K. (35561975500); Nithyanandan, K. (36246432800); Subha, P.A. (15846997000); Tchofo Dinda, P. (6604078297)","55813729600; 35561975500; 36246432800; 15846997000; 6604078297","Ultrashort dark solitons interactions and nonlinear tunneling in the modified nonlinear Schrödinger equation with variable coefficient","2017","Optical Fiber Technology","37","","","11","20","9","22","10.1016/j.yofte.2017.06.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021171224&doi=10.1016%2fj.yofte.2017.06.006&partnerID=40&md5=99312e4cc0656d3ffde54e8b615afb14","Article","Final","","Scopus","2-s2.0-85021171224"
"Igbonacho J.; Nithyanandan K.; Krupa K.; Tchofo Dinda P.; Grelu P.","Igbonacho, J. (57202317976); Nithyanandan, K. (36246432800); Krupa, K. (23467266100); Tchofo Dinda, P. (6604078297); Grelu, P. (6602757933)","57202317976; 36246432800; 23467266100; 6604078297; 6602757933","Vibrations and oscillations of tri-soliton molecules in a mode-locked fiber laser","2018","Optics InfoBase Conference Papers","Part F108-NP 2018","","","","","2","0","10.1364/NP.2018.NpW2C.5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85051280743&doi=10.1364%2fNP.2018.NpW2C.5&partnerID=40&md5=e378aa9ce682fe721c6bf7561b7b635f","Conference paper","Final","","Scopus","2-s2.0-85051280743"
"Kanagaraj N.; Wang Z.; Coillet A.; Tchofo-Dinda P.; Grelu P.","Kanagaraj, Nithyanandan (36246432800); Wang, Zhiqiang (57212119488); Coillet, Aurélien (26530475400); Tchofo-Dinda, Patrice (6604078297); Grelu, Philippe (6602757933)","36246432800; 57212119488; 26530475400; 6604078297; 6602757933","Optical soliton molecular complexes in ultrafast fiber lasers","2019","Optics InfoBase Conference Papers","Part F143-EQEC 2019","","2019-ef_6_1","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084532293&partnerID=40&md5=04a9e224bbd255e0f3c309fad5e88334","Conference paper","Final","","Scopus","2-s2.0-85084532293"
"Nithyanandan K.; Porsezian K.","Nithyanandan, K. (36246432800); Porsezian, K. (35561975500)","36246432800; 35561975500","Influence of the functional form of nonlinearity in the Modulational Instability spectra of relaxing saturable nonlinear system","2015","Journal of Physics: Conference Series","605","1","012032","","","","1","10.1088/1742-6596/605/1/012032","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84929494328&doi=10.1088%2f1742-6596%2f605%2f1%2f012032&partnerID=40&md5=ddb1e77ae5315ca7c60ace2a7a228261","Conference paper","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-84929494328"
"Nithyanandan K.","Nithyanandan, K. (36246432800)","36246432800","Optical bistability in dual core directional coupler with negative index material channel","2017","Optics InfoBase Conference Papers","Part F66-FiO 2017","","","","","2","0","10.1364/FIO.2017.JW4A.123","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85035136389&doi=10.1364%2fFIO.2017.JW4A.123&partnerID=40&md5=3b099baf5fb23d349667988d2ae7cfea","Conference paper","Final","","Scopus","2-s2.0-85035136389"
"Nithyanandan K.","Nithyanandan, K. (36246432800)","36246432800","Observation of optical bistability in oppositely directed coupler","2017","Optics InfoBase Conference Papers","Part F78-JSAP 2017","","","","","1","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85039557372&partnerID=40&md5=228991220de8ec4fee04f132d01a5924","Conference paper","Final","","Scopus","2-s2.0-85039557372"
"Mamatha K.L.; Stalin S.; Nithyanandan K.","Mamatha, K.L. (60521477100); Stalin, S. (51665925800); Nithyanandan, K. (36246432800)","60521477100; 51665925800; 36246432800","Propagation of Gaussian beam in strongly nonlocal nonlinear media with inhomogeneous diffraction","2026","Physics Letters, Section A: General, Atomic and Solid State Physics","583","","131602","","","","0","10.1016/j.physleta.2026.131602","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105033656635&doi=10.1016%2fj.physleta.2026.131602&partnerID=40&md5=c1fd766fbbac0786583c0569f5a630ee","Article","Final","","Scopus","2-s2.0-105033656635"
"Grabner M.; Nithyanandan K.; Peterka P.; Koska P.; Jasim A.A.; Honzatko P.","Grabner, Martin (16024255800); Nithyanandan, Kanagaraj (36246432800); Peterka, Pavel (6602769922); Koska, Pavel (55644355900); Jasim, Ali. A. (57212397480); Honzatko, Pavel (6602116389)","16024255800; 36246432800; 6602769922; 55644355900; 57212397480; 6602116389","Simulations of Pump Absorption in Tandem-Pumped Octagon Double-Clad Fibers","2021","IEEE Photonics Journal","13","2","9360441","","","","13","10.1109/JPHOT.2021.3060857","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101780051&doi=10.1109%2fJPHOT.2021.3060857&partnerID=40&md5=61016e2c4be2a3186b82bb56cceb36d2","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-85101780051"
"Nithyanandan K.; Porsezian K.","Nithyanandan, K. (36246432800); Porsezian, K. (35561975500)","36246432800; 35561975500","A novel power play in the supercontinuum generation induced by modulational instability in saturable nonlinear media","2014","Frontiers in Optics, FiO 2014","","","","","","","0","10.1364/fio.2014.fw4d.7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088769145&doi=10.1364%2ffio.2014.fw4d.7&partnerID=40&md5=962f9afcee52e6ebc2e81c5d907cc560","Conference paper","Final","","Scopus","2-s2.0-85088769145"
"Shafeeque Ali A.K.; Nithyanandan K.; Porsezian K.; Maimistov A.I.","Shafeeque Ali, A.K. (56401131700); Nithyanandan, K. (36246432800); Porsezian, K. (35561975500); Maimistov, Andrei I. (7004367032)","56401131700; 36246432800; 35561975500; 7004367032","Modulation instability in a triangular three-core coupler with a negative-index material channel","2016","Journal of Optics (United Kingdom)","18","3","035102","","","","28","10.1088/2040-8978/18/3/035102","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961905708&doi=10.1088%2f2040-8978%2f18%2f3%2f035102&partnerID=40&md5=906eab564a9c8713bc1670d539c1ae75","Article","Final","","Scopus","2-s2.0-84961905708"
"Triki H.; Porsezian K.; Senthilnathan K.; Nithyanandan K.","Triki, H. (56259534300); Porsezian, K. (35561975500); Senthilnathan, K. (6603370481); Nithyanandan, K. (36246432800)","56259534300; 35561975500; 6603370481; 36246432800","Chirped self-similar solitary waves for the generalized nonlinear Schrödinger equation with distributed two-power-law nonlinearities","2019","Physical Review E","100","4","042208","","","","13","10.1103/PhysRevE.100.042208","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073826541&doi=10.1103%2fPhysRevE.100.042208&partnerID=40&md5=66c30a271ba6f5a7352f4345c4bff3c9","Article","Final","","Scopus","2-s2.0-85073826541"
"Nithyanandan K.; Raja R.V.J.; Porsezian K.","Nithyanandan, K. (36246432800); Raja, R. Vasantha Jayakantha (25637567000); Porsezian, K. (35561975500)","36246432800; 25637567000; 35561975500","Theoretical investigation of modulational instability in semiconductor doped dispersion decreasing fiber and its cutting edge over the existing fiber systems","2013","Journal of the Optical Society of America B: Optical Physics","30","1","","178","187","9","27","10.1364/JOSAB.30.000178","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84871798117&doi=10.1364%2fJOSAB.30.000178&partnerID=40&md5=8d0fecaee7294771c5be5bd7f84e3789","Article","Final","","Scopus","2-s2.0-84871798117"
"Soni K.; Kanagaraj N.","Soni, Khushboo (59515927400); Kanagaraj, Nithyanandan (36246432800)","59515927400; 36246432800","Adaptive Beam Steering in Coherent Beam Combining Systems Using Adagrad Optimization for Precision Applications","2025","LEOS Summer Topical Meeting","","","","","","","0","10.1109/SUM65312.2025.11121794","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015985315&doi=10.1109%2fSUM65312.2025.11121794&partnerID=40&md5=ea8a8e8784e72f0bb884d5f70b4073b3","Conference paper","Final","","Scopus","2-s2.0-105015985315"
"Nithyanandan K.; Porsezian K.","Nithyanandan, K. (36246432800); Porsezian, K. (35561975500)","36246432800; 35561975500","A study on super continuum generation in exponential type saturable nonlinearity","2014","JSAP-OSA Joint Symposia, JSAP 2014","","","","","","","0","10.1364/jsap.2014.17p_c4_9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088770281&doi=10.1364%2fjsap.2014.17p_c4_9&partnerID=40&md5=519046ad3e499b552bd80dddb5930214","Conference paper","Final","","Scopus","2-s2.0-85088770281"
"Triki H.; Jose A.; Nithyanandan K.","Triki, Houria (56259534300); Jose, Amala (57887456500); Nithyanandan, K. (36246432800)","56259534300; 57887456500; 36246432800","Chirped self-similar localized pulses on a continuous wave background in presence of cubic–quintic nonlinearity and self-frequency shift","2022","Optik","270","","169876","","","","3","10.1016/j.ijleo.2022.169876","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137881826&doi=10.1016%2fj.ijleo.2022.169876&partnerID=40&md5=f8b0f24a1e3aab68f2768384e0c6a819","Article","Final","","Scopus","2-s2.0-85137881826"
"Theodosiou A.; Aubrecht J.; Kanagaraj N.; Peterka P.; Kalli K.; Kašík I.; Honzátko P.","Theodosiou, Antreas (56541357000); Aubrecht, Jan (22978680900); Kanagaraj, Nithyanandan (36246432800); Peterka, Pavel (6602769922); Kalli, Kyriacos (7004133189); Kašík, Ivan (7004504748); Honzátko, Pavel (6602116389)","56541357000; 22978680900; 36246432800; 6602769922; 7004133189; 7004504748; 6602116389","All-fiber mode-locked thulium doped fiber laser using a novel femtosecond laser inscribed 450 tilted fiber grating","2019","Optics InfoBase Conference Papers","Part F140-CLEO_Europe 2019","","2019-cf_p_28","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85084560189&partnerID=40&md5=7baa8e3fe704f46125ab6b7af6b5b5c7","Conference paper","Final","","Scopus","2-s2.0-85084560189"
"Kumar M.; Porsezian K.; Nithyanandan K.","Kumar, Monisha (57195633542); Porsezian, K. (35561975500); Nithyanandan, K. (36246432800)","57195633542; 35561975500; 36246432800","Dispersion relations and band gaps in wave number or frequency in the linear and nonlinear regimes for a coupled system with no paraxial approximation","2018","AIP Conference Proceedings","1942","","110053","","","","1","10.1063/1.5029036","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045767671&doi=10.1063%2f1.5029036&partnerID=40&md5=30f66db36c6acd2d50fd9b439e02ade2","Conference paper","Final","","Scopus","2-s2.0-85045767671"
"Nithyanandan K.; Uthayakumar T.; Porsezian K.; Raja R.V.J.","Nithyanandan, K. (36246432800); Uthayakumar, T. (35362713600); Porsezian, K. (35561975500); Raja, R. Vasantha Jayakantha (25637567000)","36246432800; 35362713600; 35561975500; 25637567000","Observation of two state behavior in the Instability induced Supercontinuum Generation of exponential saturable nonlinearity","2014","WRAP 2013 - Workshop on Recent Advances in Photonics","","","6917695","","","","0","10.1109/WRAP.2013.6917695","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84910045314&doi=10.1109%2fWRAP.2013.6917695&partnerID=40&md5=005b3291da8cbb5a41e9482a5fd94cc9","Conference paper","Final","","Scopus","2-s2.0-84910045314"
"Bosch V.D.; Djevarhidjian L.; Schnebelin C.; Nithyanandan K.; Kassi S.; Mejean G.; Romanini D.; De Chatellus H.G.","Bosch, V. Duran (57203654081); Djevarhidjian, L. (57202733578); Schnebelin, C. (56347323200); Nithyanandan, K. (36246432800); Kassi, S. (6602332937); Mejean, G. (6602982434); Romanini, D. (7004166308); De Chatellus, H. Guillet (24072741200)","57203654081; 57202733578; 56347323200; 36246432800; 6602332937; 6602982434; 7004166308; 24072741200","Self-heterodyne and dual-comb spectroscopy using acousto-optic frequency combs","2018","2018 Conference on Lasers and Electro-Optics, CLEO 2018 - Proceedings","","","8426311","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85052575571&partnerID=40&md5=bb4465906c6012dcb107e26887564258","Conference paper","Final","","Scopus","2-s2.0-85052575571"
